participant_id,content_language,finished_study,study_name,aesthetics,thinking,colorage,data_bored,data_compare,data_fun,data_science,data_selfLearn,bored_median_colorage,compare_median_colorage,fun_median_colorage,science_median_colorage,selfLearn_median_colorage,data_wasBoring,wasBoring_reversed,data_wasEnjoyable,data_wasFun,data_wasInteresting,boring_lowExtreme,boring_highExtreme,enjoyable_lowExtreme,enjoyable_highExtreme,fun_lowExtreme,fun_highExtreme,interesting_lowExtreme,interesting_highExtreme,totalExtremes,variance_noReverse,std_imi,isStdImi0,variance_reverse,AttentionCheck,AttentionCheck_binary,IntrinsicMotivation,data_comments,satisficing,average_ABS_rating_diff,average_rating_diff,num_correctAns,overall_score,retake,retake 2,age,gender,ip_country,ip_city,multinational,father,mother,education,normal vision,country0,years0,country1,country2,country3,country4,country5,years1,years2,years3,years4,years5,lang0,lang1,lang2,lang3,lang4,lang5,lang6,fluency1,fluency2,fluency3,fluency4,fluency5,fluency6,urban,web_usage,profession,id,cvd,screen,normalvision,time_stamp,ctry6,user_agent,timestamp,timestamp_page_load,timestamp_motivation_1,timestamp_motivation_1_inDays,timestamp_motivation_date,timestamp_motivation_2,elapsedTime,timestamp_demographics,timestamp_lighting1,predicted_age,abs_diff_ages,diff-ages
43186,en,0,aesthetics,1,0,0,1,5,2,2,3,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,1,retake,34,1,Switzerland,,1,Poland,Poland,graduate school,0,Italy,6,Poland,,,,,24,0,0,0,0,Polish,,,,,,,0,0,0,0,0,0,,2,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",08/03/2016 11:14 AM,08/03/2016 11:13 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 11:15 AM,,,,
43187,en,1,aesthetics,1,0,0,2,4,5,4,5,0,1,1,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.8,0.2,,,0,first/missing,19,1,Belgium,,0,Belgium,Belgium,high school,0,Belgium,19,,,,,,0,0,0,0,0,Dutch,,,,,,,0,0,0,0,0,0,,7,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/03/2016 12:10 PM,08/03/2016 12:09 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 12:10 PM,,,,
43188,en,1,aesthetics,1,0,0,5,3,3,3,3,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.733333333,0.266666667,,,0,first/missing,13,0,Canada,Etobicoke,0,China,China,pre-high school,0,Canada,13,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,9,,,,,,,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,08/03/2016 3:54 PM,08/03/2016 3:53 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 3:54 PM,,,,
43189,en,1,aesthetics,1,0,0,5,4,5,3,5,1,1,1,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.633333333,-0.166666667,,,0,first/missing,25,0,United States,California,1,United States,United States,college,0,United States,25,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,6,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36 Vivaldi/1.2.490.43",08/03/2016 4:28 PM,08/03/2016 4:28 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 4:29 PM,,,,
43191,en,0,aesthetics,1,0,0,5,4,4,3,3,1,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,19,0,United Kingdom,Skelmersdale,0,United States,United States,college,0,United States,19,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,0,,,,,,,,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/03/2016 5:22 PM,08/03/2016 4:55 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 5:22 PM,,,,
43192,de,1,aesthetics,1,0,0,2,4,3,3,5,0,1,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.892857143,-0.321428571,,,0,first/missing,18,0,Germany,Gollheim,0,Russian Federation,Russian Federation,college,0,Germany,18,,,,,,0,0,0,0,0,German,,,,,,,0,0,0,0,0,0,,10,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36 Vivaldi/1.2.490.43",08/03/2016 5:05 PM,08/03/2016 5:05 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 5:05 PM,,,,
43195,en,1,aesthetics,1,0,0,3,4,4,4,4,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.833333333,-0.433333333,,,0,first/missing,48,1,United States,Cambridge,0,United States,United Kingdom,graduate school,0,United States,48,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,5,,,,,,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/03/2016 8:35 PM,08/03/2016 8:34 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 8:36 PM,,,,
43197,fr,1,aesthetics,1,0,0,4,4,4,3,4,1,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.733333333,0.4,,,0,first/missing,17,0,France,Saint-Feliu-d\'Avall,1,Cuba,Congo,high school,0,South Africa,1,,,,,,0,0,0,0,0,French,Spanish,,,,,,4,0,0,0,0,0,,2,,,,,,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/04/2016 4:11 AM,08/04/2016 4:10 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/04/2016 4:12 AM,,,,
43198,en,1,aesthetics,1,0,0,1,4,5,5,5,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.4,-1,,,0,first/missing,49,1,Germany,Berlin,0,Germany,Germany,professional school,0,Germany,49,,,,,,0,0,0,0,0,German,,,,,,,0,0,0,0,0,0,,5,,,,,,,,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",08/04/2016 10:19 AM,08/04/2016 10:19 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/04/2016 10:20 AM,,,,
43199,en,1,aesthetics,1,0,0,4,4,3,4,4,1,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.433333333,-0.966666667,,,0,first/missing,19,0,United States,Worcester,1,India,India,college,0,United States,1,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,6,,,,,,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",08/04/2016 11:12 AM,08/04/2016 11:12 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/04/2016 11:13 AM,,,,
43205,en,1,aesthetics,1,0,0,3,3,3,5,5,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.733333333,-0.266666667,,,0,first/missing,36,0,United States,Austin,0,United States,United States,college,0,United States,36,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,11,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/04/2016 4:41 PM,08/04/2016 4:41 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/04/2016 4:42 PM,,,,
43207,en,1,aesthetics,1,0,0,4,3,5,5,5,1,0,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.2,-0.066666667,,,0,first/missing,13,1,United States,Dallas,0,Mexico,Mexico,professional school,0,United States,13,,,,,,0,0,0,0,0,Spanish,English,,,,,,4,0,0,0,0,0,,7,,,,,,,,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",08/04/2016 9:32 PM,08/04/2016 9:31 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/04/2016 9:34 PM,,,,
43208,en,1,aesthetics,1,0,0,3,2,5,5,5,0,0,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.466666667,0.333333333,,,0,first/missing,45,0,Sweden,Luleå,1,Iceland,Iceland,PhD,0,Sweden,15,Iceland,,,,,30,0,0,0,0,Swedish,English,Danish,French,Italian,German,,4,4,4,2,2,0,,6,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17",08/05/2016 1:28 AM,08/05/2016 1:27 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/05/2016 1:30 AM,,,,
43213,en,0,aesthetics,1,0,0,4,2,4,3,4,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,28,1,United Arab Emirates,Sharjah,0,United Arab Emirates,United Arab Emirates,,0,United Arab Emirates,28,,,,,,0,0,0,0,0,Arabic,,,,,,,0,0,0,0,0,0,,4,,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:47.0) Gecko/20100101 Firefox/47.0,08/06/2016 1:18 AM,08/06/2016 1:18 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 1:21 AM,,,,
43214,en,1,aesthetics,1,0,0,4,2,4,3,4,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.5,-0.1,,,0,first/missing,28,1,United Arab Emirates,Sharjah,0,,,,0,United Arab Emirates,28,,,,,,0,0,0,0,0,Arabic,English,Japanese,,,,,4,1,0,0,0,0,,4,,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:47.0) Gecko/20100101 Firefox/47.0,08/06/2016 1:25 AM,08/06/2016 1:25 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 1:27 AM,,,,
43216,en,0,aesthetics,1,0,0,3,5,3,5,5,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,18,1,United States,Fremont,1,China,China,high school,0,China,17,,,,,,0,0,0,0,0,Chinese,,,,,,,0,0,0,0,0,0,,0,,,,,,,,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",08/06/2016 11:40 AM,08/06/2016 11:39 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 11:40 AM,,,,
43217,en,0,aesthetics,1,0,0,3,5,3,5,5,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,18,1,United States,Fremont,1,China,China,high school,0,China,17,,,,,,0,0,0,0,0,Chinese,,,,,,,0,0,0,0,0,0,,0,,,,,,,,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",08/06/2016 11:42 AM,08/06/2016 11:41 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 11:42 AM,,,,
43218,en,0,aesthetics,1,0,0,3,1,4,3,5,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,18,1,Romania,Covaci,0,,,high school,0,Romania,18,,,,,,0,0,0,0,0,Romanian,,,,,,,0,0,0,0,0,0,,8,,,,,,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/06/2016 2:42 PM,08/06/2016 2:42 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 2:43 PM,,,,
43219,en,1,aesthetics,1,0,0,5,2,5,5,5,1,0,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.428571429,-0.285714286,,,0,first/missing,31,1,United States,Houston,0,United States Minor Outlying Islands,United States Minor Outlying Islands,graduate school,0,United States Minor Outlying Islands,31,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,8,,,,,,,,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,08/06/2016 3:39 PM,08/06/2016 3:39 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 3:40 PM,,,,
43220,en,1,aesthetics,1,0,0,5,5,5,4,5,1,1,1,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.533333333,-0.333333333,,,0,first/missing,17,1,United Kingdom,Woking,0,United Kingdom,United Kingdom,high school,0,United Kingdom,17,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,6,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/06/2016 5:16 PM,08/06/2016 5:15 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/06/2016 5:17 PM,,,,
43222,en,0,aesthetics,1,0,0,5,5,5,2,5,1,1,1,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,16,1,Australia,Redland Bay,0,Australia,Australia,high school,0,Australia,16,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,3,,,,,,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/07/2016 9:17 PM,08/07/2016 9:16 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/07/2016 9:17 PM,,,,
43223,en,0,aesthetics,1,0,0,3,5,5,5,5,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,20,0,United States,Burbank,1,Republic of Korea,Republic of Korea,college,0,United States Minor Outlying Islands,11,,,,,,0,0,0,0,0,Korean,,,,,,,0,0,0,0,0,0,,10,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/07/2016 10:07 PM,08/07/2016 10:04 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/07/2016 10:07 PM,,,,
43224,en,0,aesthetics,1,0,0,4,2,5,5,4,1,0,1,1,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,35,1,Singapore,Singapore,0,Singapore,Singapore,graduate school,0,Singapore,35,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,8,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",08/08/2016 1:50 AM,08/08/2016 1:46 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/08/2016 1:51 AM,,,,
43228,en,1,aesthetics,1,0,0,1,5,5,5,5,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.178571429,-0.964285714,,,0,first/missing,36,0,United Arab Emirates,Dubai,1,Philippines,Philippines,graduate school,0,United Arab Emirates,6,Philippines,,,,,30,0,0,0,0,Other,,,,,,,0,0,0,0,0,0,,7,,,,,,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/08/2016 5:46 AM,08/08/2016 5:45 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/08/2016 5:48 AM,,,,
43229,en,1,aesthetics,1,0,0,3,4,5,4,5,0,1,1,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.766666667,-0.166666667,,,0,first/missing,24,0,Spain,Valencia,0,Spain,Spain,professional school,0,Spain,24,,,,,,0,0,0,0,0,Spanish,English,,,,,,3,0,0,0,0,0,,9,,,,,,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/08/2016 7:25 AM,08/08/2016 7:25 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/08/2016 7:26 AM,,,,
43236,en,1,aesthetics,1,0,0,1,5,5,5,5,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.166666667,-0.033333333,,,0,first/missing,22,1,India,Thanjavur,0,India,India,college,0,India,22,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,2,,,,,,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.124 Safari/537.36",08/08/2016 10:02 PM,08/08/2016 9:58 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/08/2016 10:05 PM,,,,
43237,en,1,aesthetics,1,0,0,4,5,4,3,5,1,1,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.466666667,0.4,,,0,first/missing,28,0,Netherlands,Beugen,0,Suriname,Hong Kong,graduate school,0,Netherlands,28,,,,,,0,0,0,0,0,Dutch,,,,,,,0,0,0,0,0,0,,4,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",08/09/2016 3:39 AM,08/09/2016 3:38 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/09/2016 3:40 AM,,,,
43238,zh,1,aesthetics,1,0,0,5,5,5,5,1,1,1,1,1,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.8,-0.133333333,,,0,first/missing,33,0,Australia,Baulkham Hills,1,China,China,college,0,Australia,2,China,,,,,31,0,0,0,0,Chinese,,,,,,,0,0,0,0,0,0,,6,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/09/2016 5:47 AM,08/09/2016 5:46 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/09/2016 5:48 AM,,,,
43241,en,0,aesthetics,1,0,0,3,2,3,3,4,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,24,1,Italy,Trento,0,Andorra,Taiwan,postdoctoral,0,Jamaica,13,,,,,,0,0,0,0,0,Dutch,,,,,,,0,0,0,0,0,0,,11,,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:25.4) Gecko/20150502 PaleMoon/25.4.0b3,08/09/2016 10:04 AM,08/09/2016 10:04 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/09/2016 10:05 AM,,,,
43242,en,0,aesthetics,1,0,0,4,2,4,5,4,1,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,0,first/missing,17,2,United States,San Jose,0,Viet Nam,Viet Nam,high school,0,United States,17,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,9,,,,,,,,"Mozilla/5.0 (X11; CrOS x86_64 6310.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.96 Safari/537.36",08/09/2016 2:18 PM,08/09/2016 2:17 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/09/2016 2:19 PM,,,,
